time,value
2012-01-02 12:25,0.31698417
2012-01-02 12:30,0.336441032
2012-01-02 12:35,0.374543982
2012-01-02 12:40,0.433319825
2012-01-02 12:45,0.460072926
2012-01-02 12:50,0.488852832
2012-01-02 12:55,0.523712997
2012-01-02 13:00,0.547628675
2012-01-02 13:05,0.473044167
2012-01-02 13:10,0.462505092
2012-01-02 13:15,0.459667565
2012-01-02 13:20,0.457235502
2012-01-02 13:25,0.459262204
2012-01-02 13:30,0.467369217
2012-01-02 13:35,0.477908395
2012-01-02 13:40,0.470206692
2012-01-02 13:45,0.456830141
2012-01-02 13:50,0.450749882
2012-01-02 13:55,0.472638806
2012-01-02 14:00,0.47588159
2012-01-02 14:05,0.47507092
2012-01-02 14:10,0.479935148
2012-01-02 14:15,0.481151231
2012-01-02 14:20,0.480340458
2012-01-02 14:25,0.486015356
2012-01-02 14:30,0.47507092
2012-01-02 14:35,0.481556489
2012-01-02 14:40,0.473449528
2012-01-02 14:45,
2012-01-02 14:50,
2012-01-02 14:55,
2012-01-02 15:00,
2012-01-02 15:05,
2012-01-02 15:10,
2012-01-02 15:15,0.46250504
2012-01-02 15:20,0.475476229
2012-01-02 15:25,0.48115118
2012-01-02 15:30,0.477908395
2012-01-02 15:35,0.48682613
2012-01-02 15:40,0.483988603
2012-01-02 15:45,0.491690307
2012-01-02 15:50,0.485204738
2012-01-02 15:55,0.491284946
2012-01-02 16:00,0.483583242
2012-01-02 16:05,0.478719117
2012-01-02 16:10,0.461694318
2012-01-02 16:15,0.446696324
2012-01-02 16:20,0.449128489
2012-01-02 16:25,0.433319773
2012-01-02 16:30,0.418727191
2012-01-02 16:35,0.411430849
2012-01-02 16:40,0.395622184
2012-01-02 16:45,0.325496544
2012-01-02 16:50,0.289825708
2012-01-02 16:55,0.281313334
2012-01-02 17:00,0.276043797
2012-01-02 17:05,0.26631534
2012-01-02 17:10,0.257397605
2012-01-02 17:15,0.248074561
2012-01-02 17:20,0.2476692
2012-01-02 17:25,0.23510332
2012-01-02 17:30,0.229428421
2012-01-02 17:35,0.226996359
