time,value,value_impute,Anomaly
2012-01-02 01:55:00,0.222132131,0.222132131,X
2012-01-02 02:00:00,0.222537543,0.222537543,X
2012-01-02 02:05:00,0.218483934,0.218483934,X
2012-01-02 02:10:00,0.20956625,0.20956625,X
2012-01-02 02:15:00,0.212403725,0.212403725,X
2012-01-02 02:20:00,0.231049814,0.231049814,X
2012-01-02 02:25:00,0.217673315,0.217673315,X
2012-01-02 02:30:00,0.211998416,0.211998416,X
2012-01-02 02:35:00,0.213619757,0.213619757,X
2012-01-02 02:40:00,0.222537492,0.222537492,X
2012-01-02 02:45:00,0.212403725,0.212403725,X
2012-01-02 02:50:00,0.209971611,0.209971611,X
2012-01-02 02:55:00,0.209160941,0.209160941,X
2012-01-02 03:00:00,0.206323466,0.206323466,X
2012-01-02 03:05:00,0.205512744,0.205512744,X
2012-01-02 03:10:00,0.207944858,0.207944858,X
2012-01-02 03:15:00,0.207134136,0.207134136,X
2012-01-02 03:20:00,0.205512796,0.205512796,X
2012-01-02 03:25:00,0.205107435,0.205107435,X
2012-01-02 03:30:00,0.202269959,0.202269959,X
2012-01-02 03:35:00,0.197811144,0.197811144,X
2012-01-02 03:40:00,,0.2042967424285714,X
2012-01-02 03:45:00,,0.2107823408571428,X
2012-01-02 03:50:00,,0.2172679392857142,O
2012-01-02 03:55:00,,0.2237535377142857,O
2012-01-02 04:00:00,,0.2302391361428571,O
2012-01-02 04:05:00,,0.2367247345714285,X
2012-01-02 04:10:00,0.243210333,0.243210333,X
2012-01-02 04:15:00,0.256181574,0.256181574,X
2012-01-02 04:20:00,0.263477917,0.263477917,X
2012-01-02 04:25:00,0.304012929,0.304012929,O
2012-01-02 04:30:00,0.330766082,0.330766082,O
2012-01-02 04:35:00,0.376570683,0.376570683,O
2012-01-02 04:40:00,0.412241571,0.412241571,X
2012-01-02 04:45:00,0.40494528,0.40494528,X
2012-01-02 04:50:00,0.386704449,0.386704449,X
2012-01-02 04:55:00,0.419132552,0.419132552,X
2012-01-02 05:00:00,0.463721071,0.463721071,X
2012-01-02 05:05:00,0.427239565,0.427239565,X
2012-01-02 05:10:00,0.436562609,0.436562609,X
2012-01-02 05:15:00,0.448317819,0.448317819,X
2012-01-02 05:20:00,0.452371325,0.452371325,X
2012-01-02 05:25:00,0.460072926,0.460072926,X
2012-01-02 05:30:00,0.464126432,0.464126432,X
2012-01-02 05:35:00,0.469801382,0.469801382,X
2012-01-02 05:40:00,0.474665559,0.474665559,X
2012-01-02 05:45:00,0.473854837,0.473854837,X
2012-01-02 05:50:00,0.465747824,0.465747824,X
2012-01-02 05:55:00,0.477097622,0.477097622,X
2012-01-02 06:00:00,0.473449528,0.473449528,X
2012-01-02 06:05:00,0.467774578,0.467774578,X
2012-01-02 06:10:00,0.461289009,0.461289009,X
2012-01-02 06:15:00,0.457235451,0.457235451,X
2012-01-02 06:20:00,0.447507097,0.447507097,X
2012-01-02 06:25:00,0.448723128,0.448723128,X
2012-01-02 06:30:00,0.460883648,0.460883648,X
2012-01-02 06:35:00,0.470612053,0.470612053,X
2012-01-02 06:40:00,0.475881642,0.475881642,X
2012-01-02 06:45:00,0.480745819,0.480745819,X
2012-01-02 06:50:00,0.489258244,0.489258244,X
2012-01-02 06:55:00,0.486420769,0.486420769,X
2012-01-02 07:00:00,0.488042161,0.488042161,X
2012-01-02 07:05:00,0.487231491,0.487231491,X
2012-01-02 07:10:00,0.485610047,0.485610047,X
2012-01-02 07:15:00,0.483583294,0.483583294,X
2012-01-02 07:20:00,0.484799377,0.484799377,X
2012-01-02 07:25:00,0.471828136,0.471828136,X
2012-01-02 07:30:00,0.476286951,0.476286951,X
2012-01-02 07:35:00,0.463315813,0.463315813,X
2012-01-02 07:40:00,0.456830141,0.456830141,O
2012-01-02 07:45:00,0.454398027,0.454398027,X
2012-01-02 07:50:00,0.449128438,0.449128438,X
2012-01-02 07:55:00,0.440616116,0.440616116,X
2012-01-02 08:00:00,0.437778692,0.437778692,X
2012-01-02 08:05:00,0.458046173,0.458046173,X
2012-01-02 08:10:00,0.458451534,0.458451534,X
2012-01-02 08:15:00,0.459667565,0.459667565,X
2012-01-02 08:20:00,0.457640863,0.457640863,X
2012-01-02 08:25:00,0.451560604,0.451560604,X
2012-01-02 08:30:00,0.436562609,0.436562609,X
2012-01-02 08:35:00,0.41872714,0.41872714,O
2012-01-02 08:40:00,0.404945228,0.404945228,O
2012-01-02 08:45:00,0.32955005,0.32955005,O
2012-01-02 08:50:00,0.29833803,0.29833803,O
2012-01-02 08:55:00,0.29752736,0.29752736,X
2012-01-02 09:00:00,0.295095246,0.295095246,X
2012-01-02 09:05:00,0.269152815,0.269152815,X
2012-01-02 09:10:00,0.280097252,0.280097252,X
2012-01-02 09:15:00,0.256992296,0.256992296,X
2012-01-02 09:20:00,0.248074613,0.248074613,X
2012-01-02 09:25:00,0.235508681,0.235508681,X
2012-01-02 09:30:00,0.231049865,0.231049865,X
2012-01-02 09:35:00,0.237130125,0.237130125,X
2012-01-02 09:40:00,0.24077827,0.24077827,X
2012-01-02 09:45:00,0.229833782,0.229833782,X
2012-01-02 09:50:00,0.229833782,0.229833782,X
2012-01-02 09:55:00,0.227807029,0.227807029,X
2012-01-02 10:00:00,0.226996307,0.226996307,X
2012-01-02 10:05:00,0.225780276,0.225780276,X
2012-01-02 10:10:00,0.218484037,0.218484037,X
2012-01-02 10:15:00,0.219700016,0.219700016,X
2012-01-02 10:20:00,0.217267954,0.217267954,X
2012-01-02 10:25:00,0.220916048,0.220916048,X
2012-01-02 10:30:00,0.22740172,0.22740172,X
2012-01-02 10:35:00,0.225374915,0.225374915,X
2012-01-02 10:40:00,0.21443053,0.21443053,X
2012-01-02 10:45:00,0.214025118,0.214025118,X
2012-01-02 10:50:00,0.209566302,0.209566302,X
2012-01-02 10:55:00,0.210782333,0.210782333,X
2012-01-02 11:00:00,0.20875558,0.20875558,X
2012-01-02 11:05:00,0.214835891,0.214835891,X
2012-01-02 11:10:00,0.210377024,0.210377024,X
2012-01-02 11:15:00,0.209971611,0.209971611,X
2012-01-02 11:20:00,0.211593004,0.211593004,X
2012-01-02 11:25:00,0.225780328,0.225780328,X
2012-01-02 11:30:00,0.20875558,0.20875558,X
2012-01-02 11:35:00,0.203891352,0.203891352,X
2012-01-02 11:40:00,0.203891403,0.203891403,X
2012-01-02 11:45:00,0.204296713,0.204296713,X
2012-01-02 11:50:00,0.205107435,0.205107435,X
2012-01-02 11:55:00,0.208350219,0.208350219,X
2012-01-02 12:00:00,0.2286177,0.2286177,O
2012-01-02 12:05:00,0.257397657,0.257397657,O
2012-01-02 12:10:00,0.276043745,0.276043745,O
2012-01-02 12:15:00,0.2723956,0.2723956,X
2012-01-02 12:20:00,0.274016992,0.274016992,X
2012-01-02 12:25:00,0.31698417,0.31698417,X
2012-01-02 12:30:00,0.336441032,0.336441032,X
2012-01-02 12:35:00,0.374543982,0.374543982,X
2012-01-02 12:40:00,0.433319825,0.433319825,X
2012-01-02 12:45:00,0.460072926,0.460072926,X
2012-01-02 12:50:00,0.488852832,0.488852832,X
2012-01-02 12:55:00,0.523712997,0.523712997,X
2012-01-02 13:00:00,0.547628675,0.547628675,X
2012-01-02 13:05:00,0.473044167,0.473044167,X
2012-01-02 13:10:00,0.462505092,0.462505092,X
2012-01-02 13:15:00,0.459667565,0.459667565,X
2012-01-02 13:20:00,0.457235502,0.457235502,X
2012-01-02 13:25:00,0.459262204,0.459262204,X
2012-01-02 13:30:00,0.467369217,0.467369217,X
2012-01-02 13:35:00,0.477908395,0.477908395,X
2012-01-02 13:40:00,0.470206692,0.470206692,X
2012-01-02 13:45:00,0.456830141,0.456830141,X
2012-01-02 13:50:00,0.450749882,0.450749882,X
2012-01-02 13:55:00,0.472638806,0.472638806,X
2012-01-02 14:00:00,0.47588159,0.47588159,X
2012-01-02 14:05:00,0.47507092,0.47507092,X
2012-01-02 14:10:00,0.479935148,0.479935148,X
2012-01-02 14:15:00,0.481151231,0.481151231,X
2012-01-02 14:20:00,0.480340458,0.480340458,X
2012-01-02 14:25:00,0.486015356,0.486015356,X
2012-01-02 14:30:00,0.47507092,0.47507092,X
2012-01-02 14:35:00,0.481556489,0.481556489,X
2012-01-02 14:40:00,0.473449528,0.473449528,X
2012-01-02 14:45:00,,0.4718860297142857,X
2012-01-02 14:50:00,,0.4703225314285714,X
2012-01-02 14:55:00,,0.4687590331428571,X
2012-01-02 15:00:00,,0.4671955348571428,X
2012-01-02 15:05:00,,0.4656320365714285,X
2012-01-02 15:10:00,,0.4640685382857142,X
2012-01-02 15:15:00,0.46250504,0.46250504,X
2012-01-02 15:20:00,0.475476229,0.475476229,X
2012-01-02 15:25:00,0.48115118,0.48115118,X
2012-01-02 15:30:00,0.477908395,0.477908395,X
