time,value,value_impute,Anomaly
2012-01-01 17:40,0.206323466,0.206323466,X
2012-01-01 17:45,0.208350271,0.208350271,X
2012-01-01 17:50,0.206728775,0.206728775,X
2012-01-01 17:55,0.205512744,0.205512744,X
2012-01-01 18:00,0.204296713,0.204296713,X
2012-01-01 18:05,0.20267532,0.20267532,X
2012-01-01 18:10,0.205918156,0.205918156,X
2012-01-01 18:15,0.209566302,0.209566302,X
2012-01-01 18:20,0.211998416,0.211998416,X
2012-01-01 18:25,0.208350271,0.208350271,X
2012-01-01 18:30,0.204702074,0.204702074,X
2012-01-01 18:35,0.201459289,0.201459289,X
2012-01-01 18:40,0.207944858,0.207944858,X
2012-01-01 18:45,0.389541925,0.389541925,O
2012-01-01 18:50,0.398054247,0.398054247,O
2012-01-01 18:55,0.365220938,0.365220938,X
2012-01-01 19:00,0.267531423,0.267531423,X
2012-01-01 19:05,0.202675372,0.202675372,X
2012-01-01 19:10,0.203486042,0.203486042,X
2012-01-01 19:15,0.205107435,0.205107435,X
2012-01-01 19:20,0.207539497,0.207539497,X
2012-01-01 19:25,0.206323466,0.206323466,X
2012-01-01 19:30,0.203080681,0.203080681,X
2012-01-01 19:35,0.226590998,0.226590998,X
2012-01-01 19:40,0.258208327,0.258208327,X
2012-01-01 19:45,0.251317346,0.251317346,X
2012-01-01 19:50,0.245642447,0.245642447,X
2012-01-01 19:55,0.233481928,0.233481928,X
2012-01-01 20:00,0.226996307,0.226996307,X
2012-01-01 20:05,0.227807029,0.227807029,X
2012-01-01 20:10,0.232265897,0.232265897,X
2012-01-01 20:15,0.240778219,0.240778219,X
2012-01-01 20:20,0.250912036,0.250912036,X
2012-01-01 20:25,0.299148752,0.299148752,O
2012-01-01 20:30,0.333198247,0.333198247,O
2012-01-01 20:35,0.407782755,0.407782755,O
2012-01-01 20:40,0.451965913,0.451965913,O
2012-01-01 20:45,0.552087542,0.552087542,O
2012-01-01 20:50,0.647750303,0.647750303,O
2012-01-01 20:55,0.73449533,0.73449533,X
2012-01-01 21:00,0.795297926,0.795297926,X
2012-01-01 21:05,0.511957839,0.511957839,X
2012-01-01 21:10,0.629104164,0.629104164,X
2012-01-01 21:15,0.661532215,0.661532215,X
2012-01-01 21:20,0.444264261,0.444264261,X
2012-01-01 21:25,0.436562609,0.436562609,X
2012-01-01 21:30,0.438184001,0.438184001,X
2012-01-01 21:35,0.440616116,0.440616116,X
2012-01-01 21:40,0.453992718,0.453992718,X
2012-01-01 21:45,0.458451534,0.458451534,X
2012-01-01 21:50,0.445074983,0.445074983,X
2012-01-01 21:55,0.446696324,0.446696324,X
2012-01-01 22:00,0.453587305,0.453587305,X
2012-01-01 22:05,0.453587305,0.453587305,X
